museum,museumLabel,coordinate,website
http://www.wikidata.org/entity/Q1244877,Dorfmuseum Mönchhof,Point(16.9523 47.8749),http://www.dorfmuseum.at/
http://www.wikidata.org/entity/Q1253195,Schloss Reichenau,Point(15.838869444 47.699919444),
http://www.wikidata.org/entity/Q1256896,Kinoptikum Gaspoltshofen,Point(13.7361 48.1428),http://www.kinoptikum.at/
http://www.wikidata.org/entity/Q1257522,Keltenmuseum Hallein,Point(13.0935099 47.6834238),http://www.keltenmuseum.at/
http://www.wikidata.org/entity/Q1260793,Schloss Traun,Point(14.2369 48.2189),
http://www.wikidata.org/entity/Q1261018,Freilichtmuseum Bad Tatzmannsdorf,Point(16.2255 47.3362),http://www.freilichtmuseum-badtatzmannsdorf.at/
http://www.wikidata.org/entity/Q1264893,Stadtmuseum Bludenz,Point(9.81936 47.1572),
http://www.wikidata.org/entity/Q1270813,Fossilienwelt Weinviertel,Point(16.3592 48.3664),https://www.fossilienwelt.at/
http://www.wikidata.org/entity/Q1272096,Dürnhof,Point(15.1758 48.6247),
http://www.wikidata.org/entity/Q1279967,Eboardmuseum,Point(14.304972 46.616598),https://www.eboardmuseum.com/home_de.html
http://www.wikidata.org/entity/Q1279967,Eboardmuseum,Point(14.304972 46.616598),https://www.eboardmuseum.com/home_en.html
http://www.wikidata.org/entity/Q1280825,Echophysics,Point(15.83375 47.30259),https://www.echophysics.org/
http://www.wikidata.org/entity/Q1284853,Historisches Postamt Küb,Point(15.8794 47.681),
http://www.wikidata.org/entity/Q1285998,Peršmanhof,Point(14.6958 46.5069),
http://www.wikidata.org/entity/Q1297374,Egg Museum,Point(9.89585 47.4317),https://www.eggmuseum.at/main
http://www.wikidata.org/entity/Q1298426,Egon-Schiele-Museum,Point(16.053 48.3331),http://www.egon-schiele.eu/
http://www.wikidata.org/entity/Q1308025,Künstlerhaus Graz,Point(15.4446 47.0717),
http://www.wikidata.org/entity/Q1311802,Eisenbahnmuseum Schwechat,Point(16.4836 48.1433),http://www.eisenbahnmuseum.at/
http://www.wikidata.org/entity/Q1322404,Stefan Zweig Centre Salzburg,Point(13.041972222 47.797333333),https://stefan-zweig-zentrum.at/
http://www.wikidata.org/entity/Q1339890,Rollettmuseum,Point(16.2256 48.0031),https://rollettmuseum.at/
http://www.wikidata.org/entity/Q1458127,Stadtmuseum Traiskirchen,Point(16.308469444 48.028969444),http://www.traiskirchen.gv.at/index.php/bildung/stadtmuseum/79-stadtmuseum-traiskirchen
http://www.wikidata.org/entity/Q1466545,Josephinum,Point(16.356542 48.219296),https://www.josephinum.ac.at/
http://www.wikidata.org/entity/Q1469807,Stadtmuseum Melk,Point(15.3288 48.22654),
http://www.wikidata.org/entity/Q1472169,Museum Frühmesshaus Bartholomäberg,Point(9.90681 47.0931),
http://www.wikidata.org/entity/Q1475129,Messerermuseum Steinbach an der Steyr,Point(14.2668 47.9714),https://www.messerermuseum.at/
http://www.wikidata.org/entity/Q1483375,Karikaturmuseum Krems,Point(15.5892 48.4053),https://www.karikaturmuseum.at/
http://www.wikidata.org/entity/Q1488682,Schloss Starhemberg,Point(13.6396 48.1871),
http://www.wikidata.org/entity/Q1495508,Gasthof Schupfen,Point(11.3873 47.2146),
http://www.wikidata.org/entity/Q1497537,Gedenkstätte Heldenberg,Point(15.941 48.4948),http://www.derheldenberg.at/
http://www.wikidata.org/entity/Q1497647,Höbarthmuseum,Point(15.661372 48.664724),
http://www.wikidata.org/entity/Q1504475,Kulturzentrum Belvedereschlössl,Point(16.2096 48.3876),
http://www.wikidata.org/entity/Q1512817,Maria Langegg,Point(15.4519 48.3222),
http://www.wikidata.org/entity/Q1349612,Erdődy-Landgut,Point(16.3862 48.2677),
http://www.wikidata.org/entity/Q1358705,Museum Fronfeste,Point(13.2242 47.9439),http://www.fronfeste.at/
http://www.wikidata.org/entity/Q1366650,Stadtmuseum Dornbirn,Point(9.743186 47.413642),https://stadtmuseum.dornbirn.at/
http://www.wikidata.org/entity/Q1368160,Graz Museum,Point(15.4365 47.0726),https://www.grazmuseum.at/
http://www.wikidata.org/entity/Q1369348,Nonseum,Point(16.6792 48.6972),http://www.nonseum.at/
http://www.wikidata.org/entity/Q1373510,Schloss Zogelsdorf,Point(15.8131 48.6187),
http://www.wikidata.org/entity/Q1375165,Haydn-Geburtshaus,Point(16.8556 48.0649),https://www.haydngeburtshaus.at/
http://www.wikidata.org/entity/Q1381285,Evangelisches Diözesanmuseum Fresach,Point(13.688037 46.7124),
http://www.wikidata.org/entity/Q1384491,Expi - hands on Science Center,Point(14.390045 46.544799),http://www.expi.at/expiweb/?q=de
http://www.wikidata.org/entity/Q1389233,Langenzersdorf Museum,Point(16.3637 48.3098),http://www.lemu.at/
http://www.wikidata.org/entity/Q1398557,Glockenmuseum Grassmayr,Point(11.3983 47.2562),https://www.grassmayr.at/index.php?id=44
http://www.wikidata.org/entity/Q1400936,Schloss Sigharting,Point(13.5994 48.3953),
